Acc No,ISBN,Title,Author,System Status
,591447,The Pakistan Penal Code 1860 XLV of 1860 with New Islamic Laws 1979,Sajad Anwar Khan and H,Available
,258319,Development Economics Theory and Policy,Aamir Rafique,Available
,376945,Agriculture Economics According to the new …,M Asif Malik,Available
,00309729,The Pakistan Development Review Vol 43,A R Kemal,Available
,584722,HighScoring English Precis and Composition CSS,Muhammad Ali Zafar and,Available
,55500,Transline Grammar of Spoken and Written English A …,Aamir Shehzad,Available
,9789695885468,Advanced English Grammar Rules and Sentences,Arshad Saeed and Attiya,Available
,589116,English for Subject Specialist Senior Subject,Ch Ahmad Najib,Available
,9789695885017,Idioms Idiomatics Phrases and Phrasal Verbs,M Imtiaz Shahid,Available
,594233,English Grammar and Composition Guideline,Maleeha Ayaz Malik,Available
,569361,Darsi Secondary english Translation,Darsi Idara,Available
,455589,Presis Writing Comprehension and Drafting,Sehrish Iftekhar and Nazir Rana,Available
,9789695730553,Spoken and Functional English,Sonia Bokhari,Available
,9789695882764,Presis Writing Manual,M Imtiaz Shahid,Available
,574679,A Complete Self Study Tenses with Senses According to Brithish and…,Muhammad shahid khan,Available
,594004,The Study of Linguistics,Abdul hameed Siddique,Available
,480185,Darsi Secondary School Grammar and Composition,Darsi Idara,Available
,9780195472196,English for Undergraduatess Revised and Updated,D H Howe T A Kirkpatrick,Available
,9789697086894,1000 Werbs Vocabulary Builder With  Urdu Translation,Fawaz Niaz,Available
,474863,Islami Ehkam Aur Insani Sehat Islami Ahkam Maslan …,Dr Javed Iqbal,Available
,9789690024480,AKS,Umera Ahmed,Available
,9789695814062,Japan Mein Panch Saal,Dr Abdul Haque,Available
,566407,Nagri Nagri,Javaid Mohsin Malik,Available
,9789697460014,Afsana Hijaz Safarnama Haj,Abdul Ghafoor,Available
,396967,Labbaik,Mumtaz Mufti,Available
,9695034152,Kuliyat E Iqbal Urdu Ma Farhang,Allama Muhammad Iqbal,Available
,9789697310623,Heeyat E Shair Shair Iqbal Ki Jmaliyati Saakht Aur,Ali Akbar Natiq,Available
,591676,Rooh E Iqbal,Dr Yousaf Hussain Khan,Available
,9789693505146,Raja Gidh,Bano Qudsia,Available
,9789693526882,Ibn Ul Waqat,Dupty Nazir Ahmad,Available
,9789693505610,Aangan,Khadija Mastoor,Available
,445078,Manto Aur Us Kay Mutanaza  Afsanay,Saadat Hassan Manto,Available
,361842,La Hasil,Umair Ahmad,Available
,9690018868,Pir E Kamik,Umera Ahmed,Available
,561839,Taraqi Pasand Tehreek Aur Urdu Shayri,Yaqoob Yawar,Available
,9789693520590,Chowpaal,Ahmad Nadeem Qasmi,Available
,9789693520620,Sannaataa,Ahmad Nadeem Qasmi,Available
,9789695173916,Dasht E Janoo,Amina Riaz,Available
,9789695732908,Urdu Lught Jamia Tareen,Wasi Ullah Khokhar,Available
,199476,Toheed Ki Haqeeqat Quran o Hadees Ki Roshni Mein,Ghulam Mohi Ud Din Aawa,Available
,9695038697,Qasida Burdah Shareef,Hazrat Imam Bosen,Available
,9695032273,Fawaid Ul Fawad,Hazrat Khawaja Nizam Ud Din,Available
,306034,Kaba Pe Pari Jo Pehli Nazar,M Iqbal Javed,Available
,422222,Islam Main Ghulami Ki Haqeeqat,Maulana Saeed Ahmad,Available
,469067,Kitabul Taheed,Muhammad Bin Abdul ..,Available
,534444,Beynaat E Masturaat,Hazrat Maulana Tariq Jamil,Available
,446907,Ashraf Ul Jawab 2 Vol Set,Maulana Ashraf Ali Tanvi,Available
,446907,Ashraf Ul Jawab 2 Vol Set,Maulana Ashraf Ali Tanvi,Available
,554114,Al Khutabal Mimbariyyat Lil Jumat Wal Eldain 2 vol,Muhammad Idrees Share,Available
,554114,Al Khutabal Mimbariyyat Lil Jumat Wal Eldain 2 vol,Muhammad Idrees Share,Available
,489454,Seerat Ameer Mauvia R.A Aur Un Kay Waqiat,Maulana Muhammad Zafar,Available
,297028,Tahqeek O Tandeed,Dr Farman Fatah Pur,Available
,592543,Adab Aiamal Aur Jamal E Matan,Dr Tariq Hashmi,Available
,580311,Urdu Nasar Ka Fanni Irtiqa,Dr Farman Fatah Pur,Available
,9789693511291,Mazan Pursi,Dr Muhammmad Yunus,Available
,9789693525908,Urdu Adab Ki Mukhtasar Tareen Tarikh Aaghaz se…,Dr Saleem Akhtar,Available
,9695031765,Ghubaray,Mumtaz Mufti,Available
,589598,Angaray Century Number April ta December 2018,Syed Amir Sohail,Available
